,relation,subject,object
429,address,peets_coffee,peets_coffee_address
430,traffic_info,peets_coffee,peets_coffee_traffic_info
431,distance,peets_coffee,peets_coffee_distance
446,time,meeting,meeting_time
447,room,meeting,meeting_room
448,party,meeting,meeting_party
449,agenda,meeting,meeting_agenda
450,date,meeting,meeting_date
456,time,doctor_appointment,doctor_appointment_time
457,room,doctor_appointment,doctor_appointment_room
458,party,doctor_appointment,doctor_appointment_party
459,agenda,doctor_appointment,doctor_appointment_agenda
460,date,doctor_appointment,doctor_appointment_date
509,monday,fresno,fresno_monday
510,tuesday,fresno,fresno_tuesday
511,wednesday,fresno,fresno_wednesday
512,thursday,fresno,fresno_thursday
513,friday,fresno,fresno_friday
514,saturday,fresno,fresno_saturday
515,sunday,fresno,fresno_sunday
516,monday,alameda,alameda_monday
517,tuesday,alameda,alameda_tuesday
518,wednesday,alameda,alameda_wednesday
519,thursday,alameda,alameda_thursday
520,friday,alameda,alameda_friday
521,saturday,alameda,alameda_saturday
522,sunday,alameda,alameda_sunday
640,monday,carson,carson_monday
641,tuesday,carson,carson_tuesday
642,wednesday,carson,carson_wednesday
643,thursday,carson,carson_thursday
644,friday,carson,carson_friday
645,saturday,carson,carson_saturday
646,sunday,carson,carson_sunday
689,monday,downtown_chicago,downtown_chicago_monday
690,tuesday,downtown_chicago,downtown_chicago_tuesday
691,wednesday,downtown_chicago,downtown_chicago_wednesday
692,thursday,downtown_chicago,downtown_chicago_thursday
693,friday,downtown_chicago,downtown_chicago_friday
694,saturday,downtown_chicago,downtown_chicago_saturday
695,sunday,downtown_chicago,downtown_chicago_sunday
741,address,pizza_hut,pizza_hut_address
742,traffic_info,pizza_hut,pizza_hut_traffic_info
743,distance,pizza_hut,pizza_hut_distance
744,address,four_seasons,four_seasons_address
745,traffic_info,four_seasons,four_seasons_traffic_info
746,distance,four_seasons,four_seasons_distance
753,address,trader_joes,trader_joes_address
754,traffic_info,trader_joes,trader_joes_traffic_info
755,distance,trader_joes,trader_joes_distance
756,address,tai_pan,tai_pan_address
757,traffic_info,tai_pan,tai_pan_traffic_info
758,distance,tai_pan,tai_pan_distance
759,address,sigona_farmers_market,sigona_farmers_market_address
760,traffic_info,sigona_farmers_market,sigona_farmers_market_traffic_info
761,distance,sigona_farmers_market,sigona_farmers_market_distance
866,address,midtown_shopping_center,midtown_shopping_center_address
867,traffic_info,midtown_shopping_center,midtown_shopping_center_traffic_info
868,distance,midtown_shopping_center,midtown_shopping_center_distance
872,address,jills_house,jills_house_address
873,traffic_info,jills_house,jills_house_traffic_info
874,distance,jills_house,jills_house_distance
875,address,palo_alto_cafe,palo_alto_cafe_address
876,traffic_info,palo_alto_cafe,palo_alto_cafe_traffic_info
877,distance,palo_alto_cafe,palo_alto_cafe_distance
878,address,topanga_mall,topanga_mall_address
879,traffic_info,topanga_mall,topanga_mall_traffic_info
880,distance,topanga_mall,topanga_mall_distance
884,address,panda_express,panda_express_address
885,traffic_info,panda_express,panda_express_traffic_info
886,distance,panda_express,panda_express_distance
890,address,chevron,chevron_address
891,traffic_info,chevron,chevron_traffic_info
892,distance,chevron,chevron_distance
893,address,jacks_house,jacks_house_address
894,traffic_info,jacks_house,jacks_house_traffic_info
895,distance,jacks_house,jacks_house_distance
945,time,swimming_activity,swimming_activity_time
946,room,swimming_activity,swimming_activity_room
947,party,swimming_activity,swimming_activity_party
948,agenda,swimming_activity,swimming_activity_agenda
949,date,swimming_activity,swimming_activity_date
960,time,medicine,medicine_time
961,room,medicine,medicine_room
962,party,medicine,medicine_party
963,agenda,medicine,medicine_agenda
964,date,medicine,medicine_date
970,time,conference,conference_time
971,room,conference,conference_room
972,party,conference,conference_party
973,agenda,conference,conference_agenda
974,date,conference,conference_date
1008,address,5672_barringer_street,5672_barringer_street_address
1009,traffic_info,5672_barringer_street,5672_barringer_street_traffic_info
1010,distance,5672_barringer_street,5672_barringer_street_distance
1093,address,round_table,round_table_address
1094,traffic_info,round_table,round_table_traffic_info
1095,distance,round_table,round_table_distance
1126,address,shell,shell_address
1127,traffic_info,shell,shell_traffic_info
1128,distance,shell,shell_distance
1129,address,cafe_venetia,cafe_venetia_address
1130,traffic_info,cafe_venetia,cafe_venetia_traffic_info
1131,distance,cafe_venetia,cafe_venetia_distance
1132,address,comfort_inn,comfort_inn_address
1133,traffic_info,comfort_inn,comfort_inn_traffic_info
1134,distance,comfort_inn,comfort_inn_distance
1135,address,hacienda_market,hacienda_market_address
1136,traffic_info,hacienda_market,hacienda_market_traffic_info
1137,distance,hacienda_market,hacienda_market_distance
1150,address,webster_garage,webster_garage_address
1151,traffic_info,webster_garage,webster_garage_traffic_info
1152,distance,webster_garage,webster_garage_distance
1177,address,pizza_my_heart,pizza_my_heart_address
1178,traffic_info,pizza_my_heart,pizza_my_heart_traffic_info
1179,distance,pizza_my_heart,pizza_my_heart_distance
1232,address,5677_southwest_4th_street,5677_southwest_4th_street_address
1233,traffic_info,5677_southwest_4th_street,5677_southwest_4th_street_traffic_info
1234,distance,5677_southwest_4th_street,5677_southwest_4th_street_distance
1241,address,stanford_childrens_health,stanford_childrens_health_address
1242,traffic_info,stanford_childrens_health,stanford_childrens_health_traffic_info
1243,distance,stanford_childrens_health,stanford_childrens_health_distance
1317,address,civic_center_garage,civic_center_garage_address
1318,traffic_info,civic_center_garage,civic_center_garage_traffic_info
1319,distance,civic_center_garage,civic_center_garage_distance
1404,time,tennis_activity,tennis_activity_time
1405,room,tennis_activity,tennis_activity_room
1406,party,tennis_activity,tennis_activity_party
1407,agenda,tennis_activity,tennis_activity_agenda
1408,date,tennis_activity,tennis_activity_date
1664,time,optometrist_appointment,optometrist_appointment_time
1665,room,optometrist_appointment,optometrist_appointment_room
1666,party,optometrist_appointment,optometrist_appointment_party
1667,agenda,optometrist_appointment,optometrist_appointment_agenda
1668,date,optometrist_appointment,optometrist_appointment_date
2034,address,coupa,coupa_address
2035,traffic_info,coupa,coupa_traffic_info
2036,distance,coupa,coupa_distance
2384,time,dentist,dentist_time
2385,room,dentist,dentist_room
2386,party,dentist,dentist_party
2387,agenda,dentist,dentist_agenda
2388,date,dentist,dentist_date
3163,address,the_clement_hotel,the_clement_hotel_address
3164,traffic_info,the_clement_hotel,the_clement_hotel_traffic_info
3165,distance,the_clement_hotel,the_clement_hotel_distance
5530,address,travelers_lodge,travelers_lodge_address
5531,traffic_info,travelers_lodge,travelers_lodge_traffic_info
5532,distance,travelers_lodge,travelers_lodge_distance
