,subject,relation,object
211,new_york,friday,"foggy, low of 70f, high of 90f"
212,new_york,saturday,"dry, low of 40f, high of 60f"
213,new_york,sunday,"dry, low of 70f, high of 90f"
214,brentwood,monday,"raining, low of 90f, high of 100f"
215,brentwood,tuesday,"drizzle, low of 70f, high of 90f"
216,brentwood,wednesday,"dew, low of 50f, high of 70f"
217,brentwood,thursday,"foggy, low of 20f, high of 40f"
218,brentwood,friday,"windy, low of 70f, high of 80f"
219,brentwood,saturday,"dry, low of 20f, high of 30f"
220,brentwood,sunday,"rain, low of 80f, high of 100f"
221,inglewood,monday,"raining, low of 40f, high of 60f"
222,inglewood,tuesday,"snow, low of 30f, high of 50f"
223,inglewood,wednesday,"windy, low of 60f, high of 70f"
224,inglewood,thursday,"overcast, low of 70f, high of 80f"
225,inglewood,friday,"cloudy, low of 90f, high of 100f"
226,inglewood,saturday,"overcast, low of 30f, high of 40f"
227,inglewood,sunday,"humid, low of 90f, high of 100f"
228,mountain_view,monday,"windy, low of 60f, high of 70f"
229,mountain_view,tuesday,"misty, low of 60f, high of 70f"
230,mountain_view,wednesday,"cloudy, low of 80f, high of 90f"
231,mountain_view,thursday,"hail, low of 80f, high of 100f"
232,mountain_view,friday,"foggy, low of 90f, high of 100f"
233,mountain_view,saturday,"misty, low of 90f, high of 100f"
234,mountain_view,sunday,"cloudy, low of 60f, high of 70f"
235,menlo_park,monday,"foggy, low of 30f, high of 40f"
236,menlo_park,tuesday,"rain, low of 20f, high of 40f"
237,menlo_park,wednesday,"misty, low of 70f, high of 90f"
238,menlo_park,thursday,"clear skies, low of 30f, high of 50f"
239,menlo_park,friday,"drizzle, low of 90f, high of 100f"
240,menlo_park,saturday,"drizzle, low of 80f, high of 90f"
241,menlo_park,sunday,"windy, low of 20f, high of 30f"
242,compton,monday,"humid, low of 60f, high of 70f"
243,compton,tuesday,"stormy, low of 70f, high of 90f"
244,compton,wednesday,"dry, low of 30f, high of 40f"
245,compton,thursday,"foggy, low of 70f, high of 90f"
246,compton,friday,"cloudy, low of 80f, high of 90f"
247,compton,saturday,"hail, low of 70f, high of 80f"
248,compton,sunday,"foggy, low of 60f, high of 80f"
249,brentwood,monday,"dry, low of 40f, high of 60f"
250,brentwood,tuesday,"overcast, low of 30f, high of 40f"
251,brentwood,wednesday,"raining, low of 30f, high of 50f"
252,brentwood,thursday,"cloudy, low of 50f, high of 60f"
253,brentwood,friday,"dry, low of 20f, high of 40f"
254,brentwood,saturday,"cloudy, low of 70f, high of 90f"
255,brentwood,sunday,"humid, low of 90f, high of 100f"
256,corona,monday,"foggy, low of 80f, high of 90f"
257,corona,tuesday,"dry, low of 40f, high of 60f"
258,corona,wednesday,"clear skies, low of 80f, high of 100f"
259,corona,thursday,"stormy, low of 40f, high of 60f"
260,corona,friday,"dry, low of 60f, high of 70f"
261,corona,saturday,"hail, low of 50f, high of 60f"
262,corona,sunday,"blizzard, low of 40f, high of 50f"
263,danville,monday,"dew, low of 60f, high of 70f"
264,danville,tuesday,"windy, low of 90f, high of 100f"
265,danville,wednesday,"raining, low of 70f, high of 90f"
266,danville,thursday,"cloudy, low of 70f, high of 80f"
267,danville,friday,"misty, low of 60f, high of 70f"
268,danville,saturday,"hot, low of 60f, high of 80f"
269,danville,sunday,"hail, low of 60f, high of 70f"
270,seattle,monday,"dry, low of 40f, high of 60f"
271,seattle,tuesday,"raining, low of 80f, high of 90f"
272,seattle,wednesday,"hail, low of 20f, high of 30f"
273,seattle,thursday,"frost, low of 20f, high of 40f"
274,seattle,friday,"raining, low of 20f, high of 40f"
275,seattle,saturday,"clear skies, low of 70f, high of 80f"
276,seattle,sunday,"humid, low of 80f, high of 100f"
277,inglewood,monday,"dry, low of 80f, high of 90f"
278,inglewood,tuesday,"overcast, low of 20f, high of 40f"
279,inglewood,wednesday,"cloudy, low of 60f, high of 70f"
280,inglewood,thursday,"misty, low of 80f, high of 100f"
281,inglewood,friday,"blizzard, low of 40f, high of 60f"
282,inglewood,saturday,"drizzle, low of 30f, high of 50f"
283,inglewood,sunday,"blizzard, low of 30f, high of 40f"
284,oakland,monday,"foggy, low of 80f, high of 100f"
285,oakland,tuesday,"dew, low of 30f, high of 40f"
286,oakland,wednesday,"frost, low of 30f, high of 40f"
287,oakland,thursday,"rain, low of 90f, high of 100f"
288,oakland,friday,"cloudy, low of 40f, high of 60f"
289,oakland,saturday,"cloudy, low of 60f, high of 80f"
290,oakland,sunday,"windy, low of 30f, high of 40f"
291,mountain_view,monday,"clear skies, low of 60f, high of 80f"
292,mountain_view,tuesday,"stormy, low of 70f, high of 80f"
293,mountain_view,wednesday,"foggy, low of 20f, high of 30f"
294,mountain_view,thursday,"warm, low of 80f, high of 100f"
295,mountain_view,friday,"warm, low of 70f, high of 90f"
296,mountain_view,saturday,"clear skies, low of 60f, high of 80f"
297,mountain_view,sunday,"cloudy, low of 80f, high of 100f"
298,inglewood,monday,"drizzle, low of 80f, high of 90f"
299,inglewood,tuesday,"rain, low of 80f, high of 90f"
300,inglewood,wednesday,"snow, low of 40f, high of 60f"
301,inglewood,thursday,"cloudy, low of 50f, high of 70f"
302,inglewood,friday,"blizzard, low of 20f, high of 30f"
303,inglewood,saturday,"blizzard, low of 30f, high of 40f"
304,inglewood,sunday,"foggy, low of 90f, high of 100f"
305,san_mateo,monday,"cloudy, low of 60f, high of 80f"
306,san_mateo,tuesday,"humid, low of 80f, high of 90f"
307,san_mateo,wednesday,"drizzle, low of 90f, high of 100f"
308,san_mateo,thursday,"clear skies, low of 60f, high of 70f"
309,san_mateo,friday,"blizzard, low of 40f, high of 50f"
310,san_mateo,saturday,"overcast, low of 90f, high of 100f"
311,san_mateo,sunday,"humid, low of 80f, high of 100f"
312,mountain_view,monday,"snow, low of 20f, high of 30f"
313,mountain_view,tuesday,"dry, low of 70f, high of 80f"
314,mountain_view,wednesday,"frost, low of 30f, high of 50f"
315,mountain_view,thursday,"drizzle, low of 60f, high of 80f"
316,mountain_view,friday,"windy, low of 90f, high of 100f"
317,mountain_view,saturday,"foggy, low of 60f, high of 80f"
318,mountain_view,sunday,"snow, low of 50f, high of 70f"
319,danville,monday,"dew, low of 50f, high of 70f"
320,danville,tuesday,"foggy, low of 70f, high of 90f"
321,danville,wednesday,"stormy, low of 30f, high of 40f"
322,danville,thursday,"cloudy, low of 30f, high of 50f"
323,danville,friday,"frost, low of 30f, high of 40f"
324,danville,saturday,"windy, low of 40f, high of 60f"
325,danville,sunday,"rain, low of 90f, high of 100f"
326,alhambra,monday,"windy, low of 90f, high of 100f"
327,alhambra,tuesday,"rain, low of 70f, high of 80f"
328,alhambra,wednesday,"foggy, low of 60f, high of 70f"
329,alhambra,thursday,"windy, low of 50f, high of 60f"
330,alhambra,friday,"drizzle, low of 60f, high of 80f"
331,alhambra,saturday,"windy, low of 50f, high of 60f"
332,alhambra,sunday,"blizzard, low of 50f, high of 60f"
333,atherton,monday,"drizzle, low of 20f, high of 30f"
334,atherton,tuesday,"snow, low of 80f, high of 90f"
335,atherton,wednesday,"cloudy, low of 90f, high of 100f"
336,atherton,thursday,"drizzle, low of 50f, high of 60f"
337,atherton,friday,"cloudy, low of 50f, high of 60f"
338,atherton,saturday,"windy, low of 60f, high of 70f"
339,atherton,sunday,"misty, low of 80f, high of 100f"
340,menlo_park,monday,"drizzle, low of 40f, high of 50f"
341,menlo_park,tuesday,"raining, low of 50f, high of 60f"
342,menlo_park,wednesday,"dew, low of 70f, high of 90f"
343,menlo_park,thursday,"overcast, low of 70f, high of 80f"
344,menlo_park,friday,"rain, low of 80f, high of 100f"
345,menlo_park,saturday,"windy, low of 40f, high of 50f"
346,menlo_park,sunday,"dry, low of 20f, high of 30f"
347,redwood_city,monday,"snow, low of 40f, high of 60f"
348,redwood_city,tuesday,"windy, low of 80f, high of 100f"
349,redwood_city,wednesday,"frost, low of 20f, high of 30f"
350,redwood_city,thursday,"overcast, low of 50f, high of 70f"
351,redwood_city,friday,"cloudy, low of 90f, high of 100f"
352,redwood_city,saturday,"raining, low of 40f, high of 50f"
353,redwood_city,sunday,"drizzle, low of 90f, high of 100f"
354,seattle,monday,"snow, low of 30f, high of 40f"
355,seattle,tuesday,"warm, low of 70f, high of 90f"
356,seattle,wednesday,"blizzard, low of 40f, high of 60f"
357,seattle,thursday,"clear skies, low of 40f, high of 50f"
358,seattle,friday,"overcast, low of 80f, high of 90f"
359,seattle,saturday,"dry, low of 80f, high of 100f"
360,seattle,sunday,"snow, low of 80f, high of 90f"
361,grand_rapids,monday,"frost, low of 20f, high of 40f"
362,grand_rapids,tuesday,"rain, low of 40f, high of 60f"
363,grand_rapids,wednesday,"drizzle, low of 30f, high of 40f"
364,grand_rapids,thursday,"warm, low of 90f, high of 100f"
365,grand_rapids,friday,"foggy, low of 80f, high of 90f"
366,grand_rapids,saturday,"drizzle, low of 70f, high of 80f"
367,grand_rapids,sunday,"raining, low of 60f, high of 70f"
368,boston,monday,"frost, low of 40f, high of 50f"
369,boston,tuesday,"overcast, low of 80f, high of 90f"
370,boston,wednesday,"overcast, low of 30f, high of 50f"
371,boston,thursday,"rain, low of 50f, high of 70f"
372,boston,friday,"raining, low of 30f, high of 40f"
373,boston,saturday,"blizzard, low of 30f, high of 40f"
374,boston,sunday,"cloudy, low of 40f, high of 50f"
375,mountain_view,monday,"clear skies, low of 60f, high of 70f"
376,mountain_view,tuesday,"snow, low of 50f, high of 70f"
377,mountain_view,wednesday,"drizzle, low of 20f, high of 30f"
378,mountain_view,thursday,"overcast, low of 70f, high of 90f"
379,mountain_view,friday,"hot, low of 50f, high of 70f"
380,mountain_view,saturday,"blizzard, low of 30f, high of 40f"
381,mountain_view,sunday,"snow, low of 50f, high of 60f"
382,durham,monday,"drizzle, low of 40f, high of 60f"
383,durham,tuesday,"windy, low of 70f, high of 80f"
384,durham,wednesday,"snow, low of 70f, high of 80f"
385,durham,thursday,"raining, low of 30f, high of 50f"
386,durham,friday,"drizzle, low of 20f, high of 30f"
387,durham,saturday,"rain, low of 30f, high of 50f"
388,durham,sunday,"humid, low of 70f, high of 90f"
389,exeter,monday,"dry, low of 50f, high of 60f"
390,exeter,tuesday,"dry, low of 70f, high of 80f"
391,exeter,wednesday,"rain, low of 60f, high of 80f"
392,exeter,thursday,"foggy, low of 50f, high of 70f"
393,exeter,friday,"clear skies, low of 50f, high of 70f"
394,exeter,saturday,"dry, low of 50f, high of 60f"
395,exeter,sunday,"humid, low of 70f, high of 80f"
398,stanford_oval_parking,distance,3 miles
399,starbucks,address,792 bedoin street
400,starbucks,traffic_info,no traffic
401,starbucks,distance,2 miles
403,valero,traffic_info,heavy traffic
404,valero,distance,5 miles
405,5677_springer_street,address,5677 springer street
406,5677_springer_street,traffic_info,heavy traffic
407,5677_springer_street,distance,6 miles
408,safeway,address,452 arcadia pl
409,safeway,traffic_info,heavy traffic
410,safeway,distance,6 miles
412,stanford_shopping_center,traffic_info,no traffic
413,stanford_shopping_center,distance,3 miles
414,hotel_keen,address,578 arbol dr
415,hotel_keen,traffic_info,moderate traffic
416,hotel_keen,distance,2 miles
418,stanford_express_care,traffic_info,moderate traffic
419,stanford_express_care,distance,1 miles
420,papa_johns,address,110 arastradero rd
421,papa_johns,traffic_info,car collision nearby
422,papa_johns,distance,6 miles
423,jing_jing,address,113 arbol dr
424,jing_jing,traffic_info,road block nearby
425,jing_jing,distance,6 miles
426,whole_foods,address,819 alma st
427,whole_foods,traffic_info,road block nearby
428,whole_foods,distance,1 miles
429,peets_coffee,address,9981 archuleta ave
430,peets_coffee,traffic_info,car collision nearby
431,peets_coffee,distance,3 miles
433,5677_springer_street,traffic_info,no traffic
434,5677_springer_street,distance,2 miles
436,palo_alto_garage_r,traffic_info,heavy traffic
437,palo_alto_garage_r,distance,2 miles
439,teavana,traffic_info,road block nearby
440,teavana,distance,6 miles
441,dinner,time,6pm
443,dinner,party,marie
445,dinner,date,the 7th
446,meeting,time,1pm
447,meeting,room,conference room 50
448,meeting,party,management
449,meeting,agenda,sign the nda
450,meeting,date,the 15th
451,football_activity,time,9am
453,football_activity,party,marie
455,football_activity,date,the 10th
456,doctor_appointment,time,3pm
457,doctor_appointment,room,-
458,doctor_appointment,party,jeff
459,doctor_appointment,agenda,-
460,doctor_appointment,date,the 7th
461,lab_appointment,time,2pm
463,lab_appointment,party,martha
465,lab_appointment,date,friday
466,football_activity,time,10am
468,football_activity,party,jon
470,football_activity,date,the 5th
471,football_activity,time,3pm
475,football_activity,date,the 16th
476,football_activity,time,2pm
478,football_activity,party,father
481,durham,monday,"overcast, low of 50f, high of 70f"
482,durham,tuesday,"overcast, low of 20f, high of 40f"
483,durham,wednesday,"hail, low of 80f, high of 100f"
484,durham,thursday,"cloudy, low of 30f, high of 50f"
485,durham,friday,"snow, low of 50f, high of 60f"
486,durham,saturday,"overcast, low of 40f, high of 50f"
487,durham,sunday,"dew, low of 60f, high of 80f"
488,redwood_city,monday,"hot, low of 60f, high of 80f"
489,redwood_city,tuesday,"dry, low of 90f, high of 100f"
490,redwood_city,wednesday,"hot, low of 60f, high of 70f"
491,redwood_city,thursday,"foggy, low of 60f, high of 70f"
492,redwood_city,friday,"foggy, low of 30f, high of 50f"
493,redwood_city,saturday,"dry, low of 70f, high of 80f"
494,redwood_city,sunday,"windy, low of 30f, high of 50f"
495,danville,monday,"cloudy, low of 90f, high of 100f"
496,danville,tuesday,"stormy, low of 20f, high of 30f"
497,danville,wednesday,"dry, low of 60f, high of 80f"
498,danville,thursday,"snow, low of 90f, high of 100f"
499,danville,friday,"cloudy, low of 60f, high of 70f"
500,danville,saturday,"rain, low of 60f, high of 80f"
501,danville,sunday,"raining, low of 20f, high of 40f"
502,camarillo,monday,"hail, low of 60f, high of 80f"
503,camarillo,tuesday,"snow, low of 90f, high of 100f"
505,camarillo,thursday,"hail, low of 70f, high of 90f"
506,camarillo,friday,"clear skies, low of 40f, high of 50f"
507,camarillo,saturday,"misty, low of 70f, high of 80f"
508,camarillo,sunday,"stormy, low of 90f, high of 100f"
509,fresno,monday,"humid, low of 80f, high of 90f"
510,fresno,tuesday,"clear skies, low of 30f, high of 40f"
511,fresno,wednesday,"frost, low of 30f, high of 50f"
512,fresno,thursday,"drizzle, low of 20f, high of 30f"
513,fresno,friday,"blizzard, low of 40f, high of 50f"
514,fresno,saturday,"raining, low of 80f, high of 100f"
515,fresno,sunday,"hail, low of 30f, high of 50f"
516,alameda,monday,"overcast, low of 40f, high of 50f"
517,alameda,tuesday,"drizzle, low of 30f, high of 40f"
518,alameda,wednesday,"raining, low of 50f, high of 60f"
519,alameda,thursday,"clear skies, low of 40f, high of 60f"
520,alameda,friday,"rain, low of 90f, high of 100f"
521,alameda,saturday,"frost, low of 50f, high of 60f"
522,alameda,sunday,"cloudy, low of 60f, high of 80f"
523,new_york,monday,"rain, low of 30f, high of 50f"
524,new_york,tuesday,"foggy, low of 30f, high of 50f"
525,new_york,wednesday,"dry, low of 20f, high of 30f"
526,new_york,thursday,"raining, low of 50f, high of 60f"
527,new_york,friday,"raining, low of 50f, high of 60f"
528,new_york,saturday,"hail, low of 30f, high of 50f"
529,new_york,sunday,"clear skies, low of 80f, high of 90f"
530,manhattan,monday,"rain, low of 90f, high of 100f"
531,manhattan,tuesday,"misty, low of 90f, high of 100f"
532,manhattan,wednesday,"cloudy, low of 20f, high of 40f"
533,manhattan,thursday,"clear skies, low of 60f, high of 80f"
534,manhattan,friday,"clear skies, low of 50f, high of 60f"
535,manhattan,saturday,"drizzle, low of 50f, high of 60f"
536,manhattan,sunday,"misty, low of 50f, high of 70f"
537,mountain_view,monday,"windy, low of 40f, high of 60f"
538,mountain_view,tuesday,"drizzle, low of 70f, high of 90f"
539,mountain_view,wednesday,"drizzle, low of 90f, high of 100f"
540,mountain_view,thursday,"drizzle, low of 90f, high of 100f"
541,mountain_view,friday,"snow, low of 30f, high of 50f"
542,mountain_view,saturday,"windy, low of 80f, high of 90f"
543,mountain_view,sunday,"rain, low of 90f, high of 100f"
544,los_angeles,monday,"dry, low of 30f, high of 40f"
545,los_angeles,tuesday,"cloudy, low of 90f, high of 100f"
546,los_angeles,wednesday,"foggy, low of 40f, high of 60f"
547,los_angeles,thursday,"hail, low of 80f, high of 100f"
548,los_angeles,friday,"hot, low of 90f, high of 100f"
549,los_angeles,saturday,"hail, low of 50f, high of 70f"
550,los_angeles,sunday,"dew, low of 20f, high of 40f"
551,corona,monday,"rain, low of 40f, high of 50f"
552,corona,tuesday,"snow, low of 50f, high of 70f"
553,corona,wednesday,"rain, low of 80f, high of 90f"
554,corona,thursday,"raining, low of 70f, high of 90f"
555,corona,friday,"humid, low of 70f, high of 90f"
556,corona,saturday,"dry, low of 30f, high of 40f"
557,corona,sunday,"hot, low of 80f, high of 90f"
558,camarillo,monday,"foggy, low of 80f, high of 100f"
559,camarillo,tuesday,"windy, low of 60f, high of 80f"
560,camarillo,wednesday,"windy, low of 20f, high of 40f"
561,camarillo,thursday,"stormy, low of 70f, high of 80f"
562,camarillo,friday,"cloudy, low of 40f, high of 50f"
563,camarillo,saturday,"misty, low of 90f, high of 100f"
564,camarillo,sunday,"raining, low of 50f, high of 60f"
565,san_mateo,monday,"windy, low of 40f, high of 50f"
566,san_mateo,tuesday,"foggy, low of 50f, high of 60f"
567,san_mateo,wednesday,"raining, low of 50f, high of 60f"
568,san_mateo,thursday,"frost, low of 20f, high of 30f"
569,san_mateo,friday,"dry, low of 90f, high of 100f"
570,san_mateo,saturday,"dew, low of 60f, high of 80f"
571,san_mateo,sunday,"misty, low of 90f, high of 100f"
572,inglewood,monday,"clear skies, low of 80f, high of 90f"
573,inglewood,tuesday,"dew, low of 80f, high of 100f"
574,inglewood,wednesday,"snow, low of 60f, high of 70f"
575,inglewood,thursday,"clear skies, low of 20f, high of 30f"
576,inglewood,friday,"stormy, low of 20f, high of 40f"
577,inglewood,saturday,"rain, low of 50f, high of 70f"
578,inglewood,sunday,"dry, low of 70f, high of 80f"
579,yoga_activity,time,11am
581,yoga_activity,party,brother
583,yoga_activity,date,the 5th
584,dentist_appointment,time,4pm
586,dentist_appointment,party,tom
588,dentist_appointment,date,friday
589,football_activity,time,11am
591,football_activity,party,ana
593,football_activity,date,the 4th
594,taking_medicine,time,3pm
596,taking_medicine,party,jeff
598,taking_medicine,date,the 3rd
599,lab_appointment,time,11am
